symbol,date,price_mult,source
VKSPL,2016-10-10,0.5,heuristic
VKSPL,2016-10-14,2.0,heuristic
IOC,2016-10-18,0.5,yfinance
VKSPL,2016-10-18,0.5,heuristic
CAPLIPOINT,2016-10-19,0.2,heuristic
VKSPL,2016-10-19,2.0,heuristic
VKSPL,2016-10-21,0.5,heuristic
VIJIFIN,2016-10-25,0.1,heuristic
VKSPL,2016-10-25,2.0,heuristic
VKSPL,2016-10-26,0.5,heuristic
VKSPL,2016-10-27,2.0,heuristic
VKSPL,2016-11-08,0.5,heuristic
VKSPL,2016-11-09,2.0,heuristic
BIRLACOT,2016-11-11,0.5,heuristic
BIRLACOT,2016-11-15,2.0,heuristic
BIRLACOT,2016-11-17,0.5,heuristic
KARURVYSYA,2016-11-17,0.2,yfinance
BIRLACOT,2016-11-18,2.0,heuristic
BIRLACOT,2016-11-21,0.5,heuristic
BIRLACOT,2016-11-22,2.0,heuristic
BIRLACOT,2016-11-28,0.5,heuristic
KPRMILL,2016-11-29,0.545455,yfinance
BIRLACOT,2016-12-01,2.0,heuristic
ONGC,2016-12-15,0.666667,yfinance
GULPOLY,2016-12-27,0.2,heuristic
JSWSTEEL,2017-01-04,0.1,yfinance
OIL,2017-01-12,0.714286,yfinance
COMPINFO,2017-02-16,0.2,heuristic
BIRLACOT,2017-03-08,0.5,heuristic
GAIL,2017-03-09,0.727273,yfinance
BEL,2017-03-16,0.1,yfinance
CONCOR,2017-04-05,0.8,yfinance
BLS,2017-04-26,0.1,heuristic
SINTEX,2017-05-25,0.25,heuristic
WIPRO,2017-06-13,0.5,yfinance
BIOCON,2017-06-15,0.333333,yfinance
GODREJCP,2017-06-22,0.5,yfinance
PETRONET,2017-07-03,0.5,yfinance
PLASTIBLEN,2017-07-03,0.5,heuristic
SANWARIA,2017-07-03,0.5,heuristic
PCJEWELLER,2017-07-06,0.5,yfinance
MHRIL,2017-07-10,0.666667,yfinance
HINDPETRO,2017-07-11,0.666667,yfinance
MUNJALAU,2017-07-11,0.5,heuristic
BPCL,2017-07-13,0.666667,yfinance
LT,2017-07-13,0.666667,yfinance
SUNTECK,2017-07-25,0.5,yfinance
KOTAKNIFTY,2017-07-27,0.1,heuristic
DWARKESH,2017-08-10,0.1,heuristic
DOLLAR,2017-08-31,0.2,heuristic
INFIBEAM,2017-08-31,0.1,heuristic
RELIANCE,2017-09-07,0.5,yfinance
DECCANCE,2017-09-11,0.5,heuristic
