Date,nifty500,nifty50,nifty100,nifty_midcap
2023-02-09,15030.099609375,17893.44921875,17723.849609375,30956.650390625
2023-02-10,15015.849609375,17856.5,17685.44921875,31029.44921875
2023-02-13,14900.5,17770.900390625,17575.150390625,30565.349609375
2023-02-14,14968.900390625,17929.849609375,17702.349609375,30481.80078125
2023-02-15,15039.650390625,18015.849609375,17786.900390625,30671.0
2023-02-16,15083.75,18035.849609375,17814.900390625,30886.5
2023-02-17,15003.9501953125,17944.19921875,17721.05078125,30642.05078125
2023-02-20,14938.650390625,17844.599609375,17626.900390625,30666.900390625
2023-02-21,14913.9501953125,17826.69921875,17604.400390625,30556.80078125
2023-02-22,14701.900390625,17554.30078125,17335.0,30211.0
2023-02-23,14666.75,17511.25,17286.30078125,30165.650390625
2023-02-24,14630.4501953125,17465.80078125,17242.150390625,30103.400390625
2023-02-27,14548.7001953125,17392.69921875,17156.150390625,29894.900390625
2023-02-28,14518.75,17303.94921875,17083.80078125,30117.30078125
2023-03-01,14664.849609375,17450.900390625,17238.44921875,30584.099609375
2023-03-02,14587.25,17321.900390625,17129.650390625,30486.75
2023-03-03,14774.75,17594.349609375,17385.94921875,30697.650390625
2023-03-06,14881.0,17711.44921875,17506.30078125,30960.05078125
2023-03-08,14921.9501953125,17754.400390625,17552.94921875,31119.25
2023-03-09,14803.9501953125,17589.599609375,17398.30078125,30948.650390625
2023-03-10,14679.849609375,17412.900390625,17244.30078125,30717.44921875
2023-03-13,14454.4501953125,17154.30078125,16997.30078125,30106.849609375
2023-03-14,14358.5498046875,17043.30078125,16887.05078125,29949.349609375
2023-03-15,14320.2998046875,16972.150390625,16825.05078125,29971.25
2023-03-16,14330.349609375,16985.599609375,16852.25,29997.5
2023-03-17,14420.849609375,17100.05078125,16964.80078125,30092.25
2023-03-20,14317.099609375,16988.400390625,16852.900390625,29782.55078125
2023-03-21,14411.2998046875,17107.5,16970.5,29958.150390625
2023-03-22,14460.0,17151.900390625,17026.19921875,30040.599609375
2023-03-23,14403.599609375,17076.900390625,16958.150390625,29916.69921875
2023-03-24,14279.0,16945.05078125,16831.80078125,29565.44921875
2023-03-27,14262.7001953125,16985.69921875,16849.30078125,29426.599609375
2023-03-28,14211.7998046875,16951.69921875,16795.349609375,29324.75
2023-03-29,14345.599609375,17080.69921875,16918.05078125,29775.55078125
2023-03-31,14557.849609375,17359.75,17186.150390625,30035.150390625
2023-04-03,14601.9501953125,17398.05078125,17224.75,30166.75
2023-04-05,14709.400390625,17557.05078125,17373.94921875,30160.150390625
2023-04-06,14759.2001953125,17599.150390625,17414.650390625,30353.80078125
2023-04-10,14790.5498046875,17624.05078125,17446.30078125,30470.099609375
2023-04-11,14867.25,17722.30078125,17540.80078125,30623.5
2023-04-12,14941.5498046875,17812.400390625,17626.900390625,30824.05078125
2023-04-13,14954.25,17828.0,17635.150390625,30884.650390625
2023-04-17,14904.2998046875,17706.849609375,17543.44921875,31006.5
2023-04-18,14897.0,17660.150390625,17510.849609375,31240.75
2023-04-19,14856.900390625,17618.75,17455.44921875,31211.25
2023-04-20,14861.75,17624.44921875,17459.849609375,31219.55078125
2023-04-21,14847.099609375,17624.05078125,17455.25,31087.349609375
2023-04-24,14930.150390625,17743.400390625,17564.400390625,31210.0
2023-04-25,14955.7001953125,17769.25,17600.05078125,31180.599609375
2023-04-26,14994.400390625,17813.599609375,17645.55078125,31228.849609375
2023-04-27,15075.0498046875,17915.05078125,17739.94921875,31404.19921875
2023-04-28,15219.5498046875,18065.0,17903.94921875,31794.75
2023-05-02,15300.75,18147.650390625,17989.30078125,32101.80078125
2023-05-03,15276.400390625,18089.849609375,17941.099609375,32186.19921875
2023-05-04,15405.5,18255.80078125,18099.75,32374.349609375
2023-05-05,15278.599609375,18069.0,17939.25,32148.849609375
2023-05-08,15427.099609375,18264.400390625,18118.5,32476.099609375
2023-05-09,15420.599609375,18265.94921875,18114.05078125,32488.5
