top_n,max_per_sector,exit_rank_buffer,dma_exit,regime_dma,min_price,min_avg_value_cr,exit_cutoff,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,trades,composite
12,3,18,250,150,0,0,30,32.06,1.428,2.114,-21.18,1.514,54.9,1395,2.1623
12,3,13,200,150,0,0,25,32.3,1.434,2.125,-21.44,1.506,53.8,1469,2.1607
12,2,23,250,200,0,0,35,31.46,1.326,1.818,-19.31,1.629,50.5,1181,2.1602
12,2,23,150,200,0,0,35,31.27,1.324,1.828,-19.17,1.631,50.5,1347,2.1599
8,4,8,150,150,0,0,16,32.16,1.355,2.09,-20.19,1.593,49.5,1015,2.1593
15,2,13,250,150,100,0,28,26.77,1.3,1.886,-16.16,1.656,53.8,1982,2.1528
15,2,13,100,150,0,0,28,31.5,1.459,2.132,-21.35,1.475,53.8,3250,2.1525
15,3,18,250,150,50,0,33,30.33,1.437,2.097,-20.24,1.498,53.8,1726,2.1525
15,4,18,150,200,100,0,33,26.67,1.235,1.704,-15.31,1.742,48.4,1722,2.1512
10,3,8,150,200,0,0,18,32.13,1.311,1.856,-19.58,1.641,48.4,1160,2.151
15,2,13,150,150,50,0,28,29.56,1.405,2.036,-19.3,1.531,52.7,2235,2.1508
10,2,13,150,200,0,0,23,31.19,1.3,1.854,-18.86,1.654,47.3,1105,2.1493
15,3,23,200,150,100,0,38,27.18,1.325,1.931,-16.76,1.621,52.7,1762,2.1491
8,3,18,150,150,50,0,26,28.95,1.251,1.904,-16.86,1.717,49.5,952,2.1485
15,3,18,200,150,100,0,33,27.16,1.324,1.925,-16.74,1.622,52.7,1779,2.1475
12,3,18,200,150,0,0,30,31.96,1.424,2.11,-21.2,1.508,54.9,1416,2.1472
7,4,18,250,150,0,0,25,31.26,1.303,1.994,-18.97,1.648,51.6,802,2.1463
10,4,8,250,200,0,0,18,32.29,1.32,1.881,-19.88,1.625,47.3,1067,2.1447
7,2,18,150,150,50,0,25,29.56,1.249,1.916,-17.22,1.717,51.6,830,2.1434
7,2,23,200,150,0,0,30,30.87,1.282,1.984,-18.49,1.67,50.5,806,2.1404
12,2,8,150,150,100,0,20,27.41,1.308,1.896,-16.75,1.637,54.9,1765,2.1401
12,2,18,200,150,100,0,30,27.49,1.31,1.9,-16.84,1.633,54.9,1448,2.1395
7,3,18,150,150,0,0,25,30.77,1.278,1.955,-18.39,1.673,50.5,832,2.1383
8,4,18,200,150,0,0,26,32.08,1.358,2.068,-20.38,1.574,50.5,935,2.1374
12,2,13,200,150,100,0,25,27.41,1.307,1.896,-16.76,1.635,54.9,1501,2.1371
12,4,23,200,150,0,0,35,31.27,1.388,2.073,-20.31,1.539,54.9,1368,2.1365
12,2,18,250,200,0,0,30,31.43,1.323,1.82,-19.47,1.614,51.6,1206,2.1363
12,2,13,150,200,100,0,25,26.22,1.18,1.609,-14.5,1.808,49.5,1425,2.1338
15,2,13,250,150,50,0,28,29.21,1.394,2.007,-19.1,1.529,52.7,2012,2.1321
7,2,18,250,200,50,0,25,28.63,1.154,1.675,-15.51,1.846,48.4,671,2.1302
12,2,13,200,200,100,0,25,26.82,1.213,1.662,-15.29,1.754,49.5,1236,2.1284
12,2,23,100,150,0,0,35,31.7,1.403,2.072,-20.92,1.515,52.7,2256,2.1265
